"Daily Minimum data	   supplied by UK-air on 12/04/2020",,,,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Cardiff Centre,,Cardiff Newport Road,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status
11/04/1995,32,V ugm-3,No data,null
12/04/1995,27,V ugm-3,No data,null
13/04/1995,23,V ugm-3,No data,null
14/04/1995,23,V ugm-3,No data,null
15/04/1995,15,V ugm-3,No data,null
16/04/1995,2,V ugm-3,No data,null
17/04/1995,4,V ugm-3,No data,null
18/04/1995,6,V ugm-3,No data,null
19/04/1995,25,V ugm-3,No data,null
20/04/1995,19,V ugm-3,No data,null
21/04/1995,13,V ugm-3,No data,null
22/04/1995,6,V ugm-3,No data,null
23/04/1995,10,V ugm-3,No data,null
24/04/1995,21,V ugm-3,No data,null
25/04/1995,29,V ugm-3,No data,null
26/04/1995,15,V ugm-3,No data,null
27/04/1995,29,V ugm-3,No data,null
28/04/1995,21,V ugm-3,No data,null
29/04/1995,21,V ugm-3,No data,null
30/04/1995,10,V ugm-3,No data,null
01/05/1995,10,V ugm-3,No data,null
02/05/1995,23,V ugm-3,No data,null
03/05/1995,27,V ugm-3,No data,null
04/05/1995,29,V ugm-3,No data,null
05/05/1995,23,V ugm-3,No data,null
06/05/1995,25,V ugm-3,No data,null
07/05/1995,31,V ugm-3,No data,null
08/05/1995,10,V ugm-3,No data,null
09/05/1995,6,V ugm-3,No data,null
10/05/1995,10,V ugm-3,No data,null
11/05/1995,2,V ugm-3,No data,null
12/05/1995,21,V ugm-3,No data,null
13/05/1995,19,V ugm-3,No data,null
14/05/1995,21,V ugm-3,No data,null
15/05/1995,15,V ugm-3,No data,null
16/05/1995,10,V ugm-3,No data,null
17/05/1995,29,V ugm-3,No data,null
18/05/1995,17,V ugm-3,No data,null
19/05/1995,8,V ugm-3,No data,null
20/05/1995,13,V ugm-3,No data,null
21/05/1995,4,V ugm-3,No data,null
22/05/1995,11,V ugm-3,No data,null
23/05/1995,19,V ugm-3,No data,null
24/05/1995,10,V ugm-3,No data,null
25/05/1995,8,V ugm-3,No data,null
26/05/1995,6,V ugm-3,No data,null
27/05/1995,4,V ugm-3,No data,null
28/05/1995,6,V ugm-3,No data,null
29/05/1995,6,V ugm-3,No data,null
30/05/1995,4,V ugm-3,No data,null
31/05/1995,10,V ugm-3,No data,null
01/06/1995,32,V ugm-3,No data,null
02/06/1995,21,V ugm-3,No data,null
03/06/1995,8,V ugm-3,No data,null
04/06/1995,6,V ugm-3,No data,null
05/06/1995,13,V ugm-3,No data,null
06/06/1995,17,V ugm-3,No data,null
07/06/1995,6,V ugm-3,No data,null
08/06/1995,13,V ugm-3,No data,null
09/06/1995,4,V ugm-3,No data,null
10/06/1995,15,V ugm-3,No data,null
11/06/1995,6,V ugm-3,No data,null
12/06/1995,11,V ugm-3,No data,null
13/06/1995,21,V ugm-3,No data,null
14/06/1995,27,V ugm-3,No data,null
15/06/1995,15,V ugm-3,No data,null
16/06/1995,17,V ugm-3,No data,null
17/06/1995,10,V ugm-3,No data,null
18/06/1995,13,V ugm-3,No data,null
19/06/1995,4,V ugm-3,No data,null
20/06/1995,10,V ugm-3,No data,null
21/06/1995,2,V ugm-3,No data,null
22/06/1995,10,V ugm-3,No data,null
23/06/1995,13,V ugm-3,No data,null
24/06/1995,19,V ugm-3,No data,null
25/06/1995,4,V ugm-3,No data,null
26/06/1995,10,V ugm-3,No data,null
27/06/1995,15,V ugm-3,No data,null
28/06/1995,19,V ugm-3,No data,null
29/06/1995,13,V ugm-3,No data,null
30/06/1995,21,V ugm-3,No data,null
01/07/1995,11,V ugm-3,No data,null
02/07/1995,17,V ugm-3,No data,null
03/07/1995,11,V ugm-3,No data,null
04/07/1995,19,V ugm-3,No data,null
05/07/1995,11,V ugm-3,No data,null
06/07/1995,6,V ugm-3,No data,null
07/07/1995,4,V ugm-3,No data,null
08/07/1995,8,V ugm-3,No data,null
09/07/1995,4,V ugm-3,No data,null
10/07/1995,4,V ugm-3,No data,null
11/07/1995,8,V ugm-3,No data,null
12/07/1995,6,V ugm-3,No data,null
13/07/1995,11,V ugm-3,No data,null
14/07/1995,8,V ugm-3,No data,null
15/07/1995,6,V ugm-3,No data,null
16/07/1995,8,V ugm-3,No data,null
17/07/1995,11,V ugm-3,No data,null
18/07/1995,4,V ugm-3,No data,null
19/07/1995,10,V ugm-3,No data,null
20/07/1995,17,V ugm-3,No data,null
21/07/1995,10,V ugm-3,No data,null
22/07/1995,13,V ugm-3,No data,null
23/07/1995,13,V ugm-3,No data,null
24/07/1995,10,V ugm-3,No data,null
25/07/1995,17,V ugm-3,No data,null
26/07/1995,15,V ugm-3,No data,null
27/07/1995,6,V ugm-3,No data,null
28/07/1995,15,V ugm-3,No data,null
29/07/1995,6,V ugm-3,No data,null
30/07/1995,13,V ugm-3,No data,null
31/07/1995,10,V ugm-3,No data,null
01/08/1995,15,V ugm-3,No data,null
02/08/1995,19,V ugm-3,No data,null
03/08/1995,15,V ugm-3,No data,null
04/08/1995,11,V ugm-3,No data,null
05/08/1995,11,V ugm-3,No data,null
06/08/1995,11,V ugm-3,No data,null
07/08/1995,11,V ugm-3,No data,null
08/08/1995,No data,V ugm-3,No data,null
09/08/1995,No data,V ugm-3,No data,null
10/08/1995,No data,V ugm-3,No data,null
11/08/1995,19,V ugm-3,No data,null
12/08/1995,13,V ugm-3,No data,null
13/08/1995,15,V ugm-3,No data,null
14/08/1995,8,V ugm-3,No data,null
15/08/1995,25,V ugm-3,No data,null
16/08/1995,21,V ugm-3,No data,null
17/08/1995,17,V ugm-3,No data,null
18/08/1995,19,V ugm-3,No data,null
19/08/1995,11,V ugm-3,No data,null
20/08/1995,10,V ugm-3,No data,null
21/08/1995,17,V ugm-3,No data,null
22/08/1995,25,V ugm-3,No data,null
23/08/1995,23,V ugm-3,No data,null
24/08/1995,17,V ugm-3,No data,null
25/08/1995,10,V ugm-3,No data,null
26/08/1995,23,V ugm-3,No data,null
27/08/1995,8,V ugm-3,No data,null
28/08/1995,8,V ugm-3,No data,null
29/08/1995,13,V ugm-3,No data,null
30/08/1995,21,V ugm-3,No data,null
31/08/1995,8,V ugm-3,No data,null
01/09/1995,40,V ugm-3,No data,null
02/09/1995,15,V ugm-3,No data,null
03/09/1995,10,V ugm-3,No data,null
04/09/1995,19,V ugm-3,No data,null
05/09/1995,34,V ugm-3,No data,null
06/09/1995,11,V ugm-3,No data,null
07/09/1995,8,V ugm-3,No data,null
08/09/1995,19,V ugm-3,No data,null
09/09/1995,38,V ugm-3,No data,null
10/09/1995,17,V ugm-3,No data,null
11/09/1995,13,V ugm-3,No data,null
12/09/1995,15,V ugm-3,No data,null
13/09/1995,40,V ugm-3,No data,null
14/09/1995,10,V ugm-3,No data,null
15/09/1995,27,V ugm-3,No data,null
16/09/1995,27,V ugm-3,No data,null
17/09/1995,17,V ugm-3,No data,null
18/09/1995,10,V ugm-3,No data,null
19/09/1995,8,V ugm-3,No data,null
20/09/1995,23,V ugm-3,No data,null
21/09/1995,40,V ugm-3,No data,null
22/09/1995,38,V ugm-3,No data,null
23/09/1995,19,V ugm-3,No data,null
24/09/1995,10,V ugm-3,No data,null
25/09/1995,10,V ugm-3,No data,null
26/09/1995,8,V ugm-3,No data,null
27/09/1995,19,V ugm-3,No data,null
28/09/1995,15,V ugm-3,No data,null
29/09/1995,29,V ugm-3,No data,null
30/09/1995,17,V ugm-3,No data,null
01/10/1995,8,V ugm-3,No data,null
02/10/1995,8,V ugm-3,No data,null
03/10/1995,8,V ugm-3,No data,null
04/10/1995,6,V ugm-3,No data,null
05/10/1995,15,V ugm-3,No data,null
06/10/1995,11,V ugm-3,No data,null
07/10/1995,15,V ugm-3,No data,null
08/10/1995,17,V ugm-3,No data,null
09/10/1995,15,V ugm-3,No data,null
10/10/1995,42,V ugm-3,No data,null
11/10/1995,19,V ugm-3,No data,null
12/10/1995,19,V ugm-3,No data,null
13/10/1995,15,V ugm-3,No data,null
14/10/1995,17,V ugm-3,No data,null
15/10/1995,10,V ugm-3,No data,null
16/10/1995,10,V ugm-3,No data,null
17/10/1995,13,V ugm-3,No data,null
18/10/1995,13,V ugm-3,No data,null
19/10/1995,29,V ugm-3,No data,null
20/10/1995,23,V ugm-3,No data,null
21/10/1995,15,V ugm-3,No data,null
22/10/1995,11,V ugm-3,No data,null
23/10/1995,8,V ugm-3,No data,null
24/10/1995,10,V ugm-3,No data,null
25/10/1995,13,V ugm-3,No data,null
26/10/1995,11,V ugm-3,No data,null
27/10/1995,17,V ugm-3,No data,null
28/10/1995,32,V ugm-3,No data,null
29/10/1995,42,V ugm-3,No data,null
30/10/1995,29,V ugm-3,No data,null
31/10/1995,34,V ugm-3,No data,null
01/11/1995,No data,V ugm-3,No data,null
02/11/1995,No data,V ugm-3,No data,null
03/11/1995,No data,V ugm-3,No data,null
04/11/1995,23,V ugm-3,No data,null
05/11/1995,19,V ugm-3,No data,null
06/11/1995,40,V ugm-3,No data,null
07/11/1995,42,V ugm-3,No data,null
08/11/1995,36,V ugm-3,No data,null
09/11/1995,8,V ugm-3,No data,null
10/11/1995,25,V ugm-3,No data,null
11/11/1995,19,V ugm-3,No data,null
12/11/1995,17,V ugm-3,No data,null
